,Title,Vote Average,Genre
,Grown Ups 2,5.8,Comedy|Romance
,Get Smart,6,Comedy
,Something's Gotta Give,6.3,Action|Adventure|Sci-Fi
,Shutter Island,7.8,Adventure|Documentary
,Four Christmases,5.3,Comedy|Romance
,Robots,6,Comedy
,Face/Off,6.8,Drama|Romance
,Bedtime Stories,5.9,Comedy|Romance
,Road to Perdition,7.3,Drama
,Just Go with It,6.3,Comedy
,Con Air,6.5,Comedy|Drama
,Eagle Eye,6.3,Drama|Mystery|Romance
,Cold Mountain,6.7,Drama
,The Book of Eli,6.6,Comedy|Romance
,Flubber,5.3,Drama|Thriller
,The Haunting,5.2,Adventure|Children|Drama
,Space Jam,6.5,Crime|Drama|Thriller
,The Pink Panther,5.6,Thriller
,The Day the Earth Stood Still,5.2,Drama|Western
,Conspiracy Theory,6.5,Action|Adventure|Crime|Drama|Romance|Thriller
,Fury,7.4,Comedy
,Six Days Seven Nights,5.6,Drama|Romance
,Yogi Bear,5.2,Action|Adventure
,Spirit: Stallion of the Cimarron,7.4,Crime|Drama|Thriller
,Zookeeper,5.3,Action|Adventure|Crime|Thriller
,Lost in Space,5,Action|Drama|War
,The Manchurian Candidate,6.2,Action|Comedy|War
,Déjà Vu,8,Comedy
,Hotel Transylvania 2,6.7,Comedy|Romance
,Fantasia 2000,7,Drama|Romance
,The Time Machine,5.8,Comedy
,Mighty Joe Young,5.9,Comedy
,Swordfish,6.1,Comedy|Drama
,The Legend of Zorro,5.9,Comedy|War
,What Dreams May Come,6.8,Action|Thriller
,Little Nicky,5.2,Drama
,The Brothers Grimm,5.6,Comedy|Drama
,Mars Attacks!,6.1,Drama|Musical
,Evolution,6.4,Comedy|Crime|Drama
,The Edge,6.7,Action|Crime|Thriller
,Surrogates,5.9,Action|Adventure|Sci-Fi|Thriller
,Thirteen Days,6.9,Drama|Thriller
,Daylight,5.8,Crime|Drama|Thriller
,Walking With Dinosaurs,5.2,Drama
,Battlefield Earth,3,Adventure|Children
,Looney Tunes: Back in Action,5.6,Action|Adventure|Comedy|Fantasy
,Nine,5.1,Comedy
,Timeline,5.4,Comedy|Western
,The Postman,6.1,Drama|Romance
,Babe: Pig in the City,5.2,Comedy
,The Last Witch Hunter,5.7,Thriller
,Red Planet,5.4,Drama
,Arthur and the Invisibles,6,Comedy|Mystery
,Oceans,7.3,Action|Crime|Drama
,A Sound of Thunder,4.8,Action|Adventure|Thriller
,Pompeii,5.2,Drama
,Top Cat Begins,5.3,Comedy|Drama|Romance|Thriller
,A Beautiful Mind,7.7,Comedy|Romance
,The Lion King,8,Drama|Romance
,Journey 2: The Mysterious Island,5.8,Comedy|Romance
,Cloudy with a Chance of Meatballs 2,6.4,Comedy|Drama
,Red Dragon,6.7,Drama
,Hidalgo,6.5,Action|Children|Romance
,Jack and Jill,4.1,Drama
,2 Fast 2 Furious,6.2,Action|Drama|Sci-Fi
,The Little Prince,7.6,Comedy
,The Invasion,5.7,Drama|Fantasy|Romance
,The Adventures of Rocky & Bullwinkle,3.9,Crime|Drama|Thriller
,The Secret Life of Pets,5.9,Drama
,The League of Extraordinary Gentlemen,5.7,Drama|Romance
,Despicable Me 2,7,Drama
,Independence Day,6.7,Action|Drama
,The Lost World: Jurassic Park,6.2,Horror|Sci-Fi
,Madagascar,6.6,Comedy|Mystery|Romance
,Children of Men,7.4,Comedy
,X-Men,6.8,Drama|Romance
,Wanted,6.4,Comedy|Drama
,The Rock,6.9,Action|Drama|Mystery
,Ice Age: The Meltdown,6.5,Comedy
,50 First Dates,6.6,Action|Crime|Drama|Sci-Fi|Thriller
,Hairspray,6.5,Comedy
,Exorcist: The Beginning,4.7,Crime|Thriller
,Inspector Gadget,4.3,Action|Drama
,Now You See Me,7.3,Drama
,Grown Ups,6,Drama
,The Terminal,7,Drama
,Hotel for Dogs,5.7,Drama
,Vertical Limit,5.9,Drama|War
,Charlie Wilson's War,6.5,Comedy|Drama
,Shark Tale,5.8,Drama
,Dreamgirls,6.6,Drama
,Be Cool,5.4,Children|Drama
,Munich,6.9,Comedy|Crime|Horror
,Tears of the Sun,6.4,Action|Adventure|Fantasy|Mystery
,Killers,5.7,Drama|Romance
,The Man from U.N.C.L.E.,7.1,Drama
,Spanglish,5.8,Drama
,Monster House,6.3,Drama
,Bandits,6.2,Drama
,First Knight,5.9,Comedy|Drama|Romance
,Anna and the King,6.4,Thriller
,Immortals,5.7,Action|Sci-Fi|Thriller
,Hostage,6.2,Comedy|Drama|Romance
,Titan A.E.,6.3,Comedy|Romance|Thriller
,Hollywood Homicide,5,Action|Crime
,Soldier,6.1,Drama
,Carriers,5.8,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
,Monkeybone,4.3,Action|Adventure|Thriller
,Flight of the Phoenix,5.7,Action|Mystery|Thriller
,Unbreakable,6.9,Drama|Musical
,Minions,6.4,Comedy|Romance
,Sucker Punch,5.9,Animation|Children|Fantasy|Musical
,Snake Eyes,5.8,Action|Adventure|Comedy|Romance
,Sphere,5.8,Action|Drama|Western
,The Angry Birds Movie,5.9,Crime|Drama|Thriller
,Fool's Gold,5.4,Crime|Thriller
,Funny People,5.7,Documentary
,The Kingdom,6.5,Action|Adventure|Animation|Children|Fantasy
,Talladega Nights: The Ballad of Ricky Bobby,6.2,Comedy
,Dr. Dolittle 2,4.9,Drama
,Braveheart,7.7,Drama|Thriller
,Jarhead,6.6,Comedy|Drama
,The Simpsons Movie,6.9,Drama|Romance
,The Majestic,6.6,Comedy
,Driven,4.5,Drama|Horror
,Two Brothers,6.9,Comedy|Romance
,The Village,6.2,Comedy|Drama
,Doctor Dolittle,5.4,Comedy|Drama
,Signs,6.4,Comedy|Drama
,Shrek 2,6.7,Comedy|Drama
,Cars,6.6,Drama|Romance
,Runaway Bride,5.7,Drama
,xXx,5.8,Drama
,The SpongeBob Movie: Sponge Out of Water,5.8,Comedy|Drama
,Ransom,6.4,Children|Comedy
,Inglourious Basterds,7.9,Comedy
,Hook,6.6,Adventure|Children|Drama
,Die Hard 2,6.6,Crime|Thriller
,S.W.A.T.,5.8,Drama
,Vanilla Sky,6.5,Documentary
,Lady in the Water,5.3,Comedy|Drama
,AVP: Alien vs. Predator,5.5,Comedy|Drama
,Alvin and the Chipmunks: The Squeakquel,5.4,Drama|Romance
,We Were Soldiers,6.7,Comedy
,Olympus Has Fallen,6.2,Children|Comedy
,Star Trek: Insurrection,6.3,Comedy|Drama|Fantasy|Romance|Thriller
,Battle: Los Angeles,5.5,Adventure|Animation|Children|Comedy|Musical
,Big Fish,7.6,Action|Sci-Fi
,Wolf,6,Adventure|Drama|Western
,War Horse,7,Action|Drama|Thriller
,The Monuments Men,5.8,Action|Crime|Thriller
,The Abyss,7.1,Crime|Horror|Thriller
,Wall Street: Money Never Sleeps,5.8,Animation|Children|Drama|Fantasy|Musical
,Dracula Untold,6.2,Animation|Children|Fantasy|Musical|Romance|IMAX
,The Siege,6,Animation|Children|Fantasy|Musical
,Stardust,7.1,Comedy|Romance
,Seven Years in Tibet,7,Comedy|Fantasy
,The Dilemma,5.2,Adventure|Western
,Bad Company,5.4,Action|Comedy|Crime
,Doom,5,Drama
,I Spy,5.2,Documentary
,Underworld: Awakening,6.1,Comedy
,Rock of Ages,6,Documentary
